id,y,z,x,location
144510,-733.677152794,-2417.933315913,-3146.56970209,barrel
144511,-725.834854588,-2415.775612716,-3148.398269566,barrel
144512,-720.093893854,-2409.880657956,-3149.736873864,barrel
144513,-724.547518254,-2401.828,-3144.702156553,barrel
144514,-728.670458412,-2394.495306055,-3143.74082174,barrel
144515,-736.916338726,-2394.495306055,-3141.818152114,barrel
144516,-741.039278883,-2401.828,-3140.856817302,barrel
144517,-736.916338726,-2409.160693945,-3141.818152114,barrel
144518,-728.670458412,-2409.160693945,-3143.74082174,barrel
144519,-732.488877616,-2401.828,-3141.473467789,barrel
144601,-1508.866255113,-2401.828,-2857.055312735,barrel
144602,-1510.769179444,-2393.775342044,-2856.038178489,barrel
144603,-1515.968065399,-2387.880387284,-2853.259316051,barrel
144604,-1523.069875686,-2385.722684087,-2849.463319368,barrel
144605,-1530.171685972,-2387.880387284,-2845.667322685,barrel
144606,-1535.370571927,-2393.775342044,-2842.888460247,barrel
144607,-1537.273496258,-2401.828,-2841.871326001,barrel
144608,-1535.370571927,-2409.880657956,-2842.888460247,barrel
144609,-1530.171685972,-2415.775612716,-2845.667322685,barrel
144610,-1523.069875686,-2417.933315913,-2849.463319368,barrel
144611,-1515.968065399,-2415.775612716,-2853.259316051,barrel
144612,-1510.769179444,-2409.880657956,-2856.038178489,barrel
144613,-1513.767969546,-2401.828,-2850.022332196,barrel
144614,-1517.501612166,-2394.495306055,-2848.026658638,barrel
144615,-1524.968897406,-2394.495306055,-2844.035311522,barrel
144616,-1528.702540026,-2401.828,-2842.039637964,barrel
144617,-1524.968897406,-2409.160693945,-2844.035311522,barrel
144618,-1517.501612166,-2409.160693945,-2848.026658638,barrel
144619,-1520.603087507,-2401.828,-2844.848283286,barrel
144701,-2196.913212077,-2401.828,-2369.180190371,barrel
144702,-2198.488042119,-2393.775342044,-2367.705201076,barrel
144703,-2202.790557809,-2387.880387284,-2363.675455381,barrel
144704,-2208.667903541,-2385.722684087,-2358.170720392,barrel
144705,-2214.545249273,-2387.880387284,-2352.665985402,barrel
144706,-2218.847764963,-2393.775342044,-2348.636239707,barrel
144707,-2220.422595005,-2401.828,-2347.161250412,barrel
144708,-2218.847764963,-2409.880657956,-2348.636239707,barrel
144709,-2214.545249273,-2415.775612716,-2352.665985402,barrel
144710,-2208.667903541,-2417.933315913,-2358.170720392,barrel
144711,-2202.790557809,-2415.775612716,-2363.675455381,barrel
144712,-2198.488042119,-2409.880657956,-2367.705201076,barrel
144713,-2199.827635334,-2401.828,-2361.118195784,barrel
144714,-2202.917538842,-2394.495306055,-2358.224185335,barrel
144715,-2209.097345858,-2394.495306055,-2352.436164439,barrel
144716,-2212.187249366,-2401.828,-2349.542153991,barrel
144717,-2209.097345858,-2409.160693945,-2352.436164439,barrel
144718,-2202.917538842,-2409.160693945,-2358.224185335,barrel
144719,-2205.0907099,-2401.828,-2354.351389612,barrel
144801,-2735.244164208,-2401.828,-1719.849353289,barrel
144802,-2736.383577898,-2393.775342044,-1718.017027028,barrel
144803,-2739.496513987,-2387.880387284,-1713.011018586,barrel
144804,-2743.748863766,-2385.722684087,-1706.172683882,barrel
144805,-2748.001213546,-2387.880387284,-1699.334349178,barrel
144806,-2751.114149635,-2393.775342044,-1694.328340736,barrel
144807,-2752.253563325,-2401.828,-1692.496014475,barrel
144808,-2751.114149635,-2409.880657956,-1694.328340736,barrel
144809,-2748.001213546,-2415.775612716,-1699.334349178,barrel
144810,-2743.748863766,-2417.933315913,-1706.172683882,barrel
144811,-2739.496513987,-2415.775612716,-1713.011018586,barrel
144812,-2736.383577898,-2409.880657956,-1718.017027028,barrel
144813,-2735.97268316,-2401.828,-1711.307756261,barrel
144814,-2738.208275739,-2394.495306055,-1707.712630952,barrel
144815,-2742.679460895,-2394.495306055,-1700.522380335,barrel
144816,-2744.915053474,-2401.828,-1696.927255026,barrel
144817,-2742.679460895,-2409.160693945,-1700.522380335,barrel
144818,-2738.208275739,-2409.160693945,-1707.712630952,barrel
144819,-2739.305044497,-2401.828,-1703.409339485,barrel
144901,-2936.329158484,-1553.62,-1348.114798109,barrel
144902,-2937.219657761,-1545.567342044,-1346.149424323,barrel
144903,-2939.652547031,-1539.672387284,-1340.779923282,barrel
144904,-2942.975935578,-1537.514684087,-1333.445048456,barrel
144905,-2946.299324126,-1539.672387284,-1326.110173629,barrel
144906,-2948.732213396,-1545.567342044,-1320.740672588,barrel
144907,-2949.622712673,-1553.62,-1318.775298802,barrel
144908,-2948.732213396,-1561.672657956,-1320.740672588,barrel
144909,-2946.299324126,-1567.567612716,-1326.110173629,barrel
144910,-2942.975935578,-1569.725315913,-1333.445048456,barrel
144911,-2939.652547031,-1567.567612716,-1340.779923282,barrel
144912,-2937.219657761,-1561.672657956,-1346.149424323,barrel
144913,-2935.93654272,-1553.62,-1339.551184823,barrel
144914,-2937.683751477,-1546.287306055,-1335.695012923,barrel
144915,-2941.17816899,-1546.287306055,-1327.982669123,barrel
144916,-2942.925377747,-1553.62,-1324.126497223,barrel
144917,-2941.17816899,-1560.952693945,-1327.982669123,barrel
144918,-2937.683751477,-1560.952693945,-1335.695012923,barrel
144919,-2938.209444977,-1553.62,-1331.285379661,barrel
145001,-3185.193953401,-1553.62,-542.200991391,barrel
145002,-3185.545433484,-1545.567342044,-540.07210792,barrel
145003,-3186.50569493,-1539.672387284,-534.255890113,barrel
145004,-3187.81743646,-1537.514684087,-526.310788834,barrel
145005,-3189.12917799,-1539.672387284,-518.365687556,barrel
145006,-3190.089439437,-1545.567342044,-512.549469749,barrel
145007,-3190.44091952,-1553.62,-510.420586278,barrel
145008,-3190.089439437,-1561.672657956,-512.549469749,barrel
145009,-3189.12917799,-1567.567612716,-518.365687556,barrel
145010,-3187.81743646,-1569.725315913,-526.310788834,barrel
145011,-3186.50569493,-1567.567612716,-534.255890113,barrel
145012,-3185.545433484,-1561.672657956,-540.07210792,barrel
145013,-3182.598289481,-1553.62,-534.030792589,barrel
145014,-3183.287912814,-1546.287306055,-529.853805658,barrel
145015,-3184.667159481,-1546.287306055,-521.499831796,barrel
145016,-3185.356782814,-1553.62,-517.322844865,barrel
145017,-3184.667159481,-1560.952693945,-521.499831796,barrel
145018,-3183.287912814,-1560.952693945,-529.853805658,barrel
145019,-3182.654396673,-1553.62,-525.458367515,barrel
145101,-3216.993044175,-1553.62,300.662916862,barrel
145102,-3216.781552278,-1545.567342044,302.810230127,barrel
145103,-3216.20374567,-1539.672387284,308.676799069,barrel
145104,-3215.414447165,-1537.514684087,316.690681276,barrel
145105,-3214.62514866,-1539.672387284,324.704563484,barrel
145106,-3214.047342052,-1545.567342044,330.571132425,barrel
145107,-3213.835850155,-1553.62,332.718445691,barrel
145108,-3214.047342052,-1561.672657956,330.571132425,barrel
145109,-3214.62514866,-1567.567612716,324.704563484,barrel
145110,-3215.414447165,-1569.725315913,316.690681276,barrel
145111,-3216.20374567,-1567.567612716,308.676799069,barrel
145112,-3216.781552278,-1561.672657956,302.810230127,barrel
145113,-3212.371222306,-1553.62,307.882915633,barrel
145114,-3211.956263525,-1546.287306055,312.096062839,barrel
145115,-3211.126345963,-1546.287306055,320.522357249,barrel
145116,-3210.711387183,-1553.62,324.735504454,barrel
145117,-3211.126345963,-1560.952693945,320.522357249,barrel
145118,-3211.956263525,-1560.952693945,312.096062839,barrel
145119,-3210.20671082,-1553.62,316.177764015,barrel
145201,-3029.559375321,-1553.62,1123.037144199,barrel
145202,-3028.799324267,-1545.567342044,1125.056551408,barrel
145203,-3026.72282617,-1539.672387284,1130.573674506,barrel
145204,-3023.886277019,-1537.514684087,1138.110204814,barrel
145205,-3021.049727868,-1539.672387284,1145.646735121,barrel
145206,-3018.973229771,-1545.567342044,1151.163858219,barrel
145207,-3018.213178717,-1553.62,1153.183265429,barrel
145208,-3018.973229771,-1561.672657956,1151.163858219,barrel
145209,-3021.049727868,-1567.567612716,1145.646735121,barrel
145210,-3023.886277019,-1569.725315913,1138.110204814,barrel
145211,-3026.72282617,-1567.567612716,1130.573674506,barrel
145212,-3028.799324267,-1561.672657956,1125.056551408,barrel
145213,-3023.226365025,-1553.62,1128.814911955,barrel
145214,-3021.735102886,-1546.287306055,1132.777100415,barrel
145215,-3018.752578606,-1546.287306055,1140.701477336,barrel
145216,-3017.261316466,-1553.62,1144.663665796,barrel
145217,-3018.752578606,-1560.952693945,1140.701477336,barrel
145218,-3021.735102886,-1560.952693945,1132.777100415,barrel
145219,-3018.988742742,-1553.62,1136.266903437,barrel
145301,-3087.172746754,-1836.356,-953.313624966,barrel
145302,-3087.79909493,-1828.303342044,-951.248831745,barrel
145303,-3089.51030997,-1822.408387284,-945.607711758,barrel
145304,-3091.847873186,-1820.250684087,-937.901798549,barrel
